relation_id,head,relation,tail,context,source
REL_13,GENERATOR,connects with,CIRCUIT,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.",rebel
REL_13,CIRCUIT,connects with,GENERATOR,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.",rebel
REL_14,GRASS FIRE,has effect,COVID-19 pandemic,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.,rebel
REL_14,COVID-19 pandemic,has cause,GRASS FIRE,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.,rebel
REL_15,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.",record label,FLT,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.",rebel
REL_16,NO NARRATIVE,publication date,2006,NO NARRATIVE AVAILABLE,rebel
REL_17,FEATHER,different from,MAG,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.",rebel
REL_17,MAG,different from,FEATHER,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.",rebel
REL_18,RUDDER GUST,award received,WIN,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT,rebel
REL_18,WIN,winner,RUDDER GUST,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT,rebel
REL_19,AIL,product or material produced,RUDDER,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.,rebel
REL_19,AIL,product or material produced,RUDDER,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.,rebel
REL_20,MAG INOP,number of episodes,25,L MAG INOP.#5 CYL COMPRESSION 25/80.,rebel
REL_21,WRONG PROPTAINED,publication date,2016,WRONG PROP INSTALLED,rebel
REL_22,1/2,said to be the same as,DEPARTURE,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.,rebel
REL_22,DEPARTURE,said to be the same as,1/2,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.,rebel
REL_23,MIXTURE CONTROL,product or material produced,HANDLE,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE,rebel
REL_23,HANDLE,manufacturer,MIXTURE CONTROL,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE,rebel
REL_24,COVID-19 pandemic,has effect,COVID-19 pandemic,OIL FILLER CAP MISSING.,rebel
REL_24,COVID-19 pandemic,has cause,COVID-19 pandemic,OIL FILLER CAP MISSING.,rebel
REL_25,ACFT,replaced by,DMGD,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.,rebel
REL_25,DMGD,replaces,ACFT,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.,rebel
REL_26,LNDNG,parent organization,PWR,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.,rebel
REL_26,PWR,subsidiary,LNDNG,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.,rebel
REL_27,SUCCESSFUL AUTOROTATION,facet of,INSUFFICIENT,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.,rebel
REL_28,CHOKER,owned by,FLT,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.",rebel
REL_28,FLT,owner of,CHOKER,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.",rebel
REL_29,FINGER TIGHT,instance of,FLT,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.,rebel
REL_30,WASHER CRACKED & SEPARATED FRM BOLT,part of,TORQUE LINK CENTER SCISSORS,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.,rebel
REL_30,TORQUE LINK CENTER SCISSORS,has part,WASHER CRACKED & SEPARATED FRM BOLT,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.,rebel
REL_31,1745,point in time,1745,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.,rebel
REL_32,EMERGENCY LANDING AFTER ENGINE QUIT,main subject,FUEL,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.",rebel
REL_33,FORCED LANDING AFTER ENGINE QUIT,facet of,SUSPECT WATER IN FUEL,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.,rebel
REL_34,FORCED LANDING AFTER POWER LOSS,facet of,FUEL,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.,rebel
REL_35,FUEL SYSTEM,instance of,ENGINE,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.,rebel
REL_36,STRIKING SNOW BANK,located in the administrative territorial entity,TAKEOFF,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.",rebel
REL_37,MAIN FUEL STRAINER,mouth of the watercourse,FROZEN LAKE,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.",rebel
REL_37,FROZEN LAKE,tributary,MAIN FUEL STRAINER,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.",rebel
REL_38,FUEL TANKS,has part,JET FUEL,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.,rebel
REL_38,JET FUEL,part of,FUEL TANKs,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.,rebel
REL_39,FLOAT BOWL,subclass of,ENGINE,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.",rebel
REL_40,GEAR SWITCH,facet of,GEAR,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.,rebel
REL_41,PILOT,has part,GEAR HANDLE,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.,rebel
REL_41,GEAR HANDLE,part of,PILOT,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.,rebel
REL_41,GEAR HANDLE,part of,TAKEOFF,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.,rebel
REL_41,TAKEOFF,has part,GEAR HANDLE,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.,rebel
REL_41,TAKEOFF,has part,TAKEOFF,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.,rebel
REL_41,TAKEOFF,has part,GEAR HANDLE,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.,rebel
REL_41,TAKEOFF,part of,TAKEOFF,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.,rebel
REL_42,LANDING LIGHT,has part,STRUCK DITCH,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.",rebel
REL_43,RUDDER,has part,CTL,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.",rebel
REL_43,CTL,part of,RUDDER,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.",rebel
REL_44,BROADING,different from,WORN,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.",rebel
REL_44,WORN,different from,BROADING,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.",rebel
REL_45,WATER IN REAR COMPTMT FLOATS,instance of,FLOATS,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.,rebel
REL_46,AIRCRAFT OWNER,field of this occupation,PREFLIGHT,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.,rebel
REL_46,PREFLIGHT,practiced by,AIRCRAFT OWNER,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.,rebel
REL_47,PILOT,has part,RETRACTION,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.",rebel
REL_47,RETRACTION,part of,PILOT,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.",rebel
REL_48,Windy City,located in the administrative territorial entity,New York,WIND GUSTING TO 25.,rebel
REL_48,New York,contains administrative territorial entity,Windy City,WIND GUSTING TO 25.,rebel
REL_49,ENGINE COWLING,instance of,FLIGHT,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.,rebel
REL_50,PILOT,different from,TRAIL,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.,rebel
REL_50,TRAIL,different from,PILOT,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.,rebel
REL_50,TRAIL,different from,PILOT,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.,rebel
REL_50,PILOT,different from,TRAIL,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.,rebel
REL_51,SAFE LIGHTS,subclass of,PilOT,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.,rebel
REL_52,TAKEOFF,subclass of,ENGINE,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.",rebel
REL_53,TAKEOFF,manufacturer,NOSE GEAR,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.",rebel
REL_53,TAKEOFF,manufacturer,NOSE GEAR,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.",rebel
REL_54,ENGINE QUIT,part of,FUEL SYSTEM,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.,rebel
REL_54,FUEL SYSTEM,has part,ENGINE QUIT,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.,rebel
REL_55,FALURE,subclass of,AIRBORNE,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.,rebel
REL_56,DIP STICK FOUND TO BE MISSING,has effect,ENGINE SHUT DOWN,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.,rebel
REL_57,TAKEOFF,has part,ENGINE COWL,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.,rebel
REL_57,ENGINE COWL,part of,TAKEOFF,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.,rebel
REL_58,GASCOLATOR,has part,CARBURETOR,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.",rebel
REL_58,CARBURETOR,part of,GASCOLATOR,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.",rebel
REL_59,FUEL EXHAUSTION,has cause,GAUGE,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.,rebel
REL_59,GAUGE,has effect,FUEL EXHAUSTION,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.,rebel
REL_60,PILOT STRUCK AN UNLIGHTED BARRICADE,located in the administrative territorial entity,LANDING,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.,rebel
REL_61,TAKEOFF,instance of,EMERGENCY LANDing,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.",rebel
REL_62,FUEL CONTAMINATION,facet of,ENGINE,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.,rebel
REL_63,JUMP START,followed by,TAKEOFF,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.,rebel
REL_63,TAKEOFF,follows,JUMP START,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.,rebel
REL_64,LOST DIRECTIONAL CONTROL,has cause,TOUCHDOWN,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.",rebel
REL_64,TOUCHDOWN,has effect,LOST DIRECTIONAL CONTROL,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.",rebel
REL_65,FUEL CAPS,facet of,FLIGHT,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.",rebel
REL_66,PILOT,part of,AIRCRAFT,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.",rebel
REL_66,AIRCRAFT,has part,PILOT,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.",rebel
REL_67,RAN,part of,AIR,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.,rebel
REL_67,AIR,has part,RAN,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.,rebel
REL_68,BOLT,has part,SCISSOR,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.,rebel
REL_68,SCISSOR,part of,BOLT,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.,rebel
REL_69,WATER CONTAMINATION,facet of,ENGINE,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.,rebel
REL_70,LIFT OFF,uses,FUEL,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.,rebel
REL_70,FUEL,used by,LIFT OFF,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.,rebel
REL_71,PILOT,has part,GENERATOR,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.",rebel
REL_71,GENERATOR,part of,PILOT,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.",rebel
REL_72,GEAR COLLAPSED ON ROLLOUT,has cause,ELECTRICAL FAILURE ON FINAL,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.,rebel
REL_72,ELECTRICAL FAILURE ON FINAL,has effect,GEAR COLLAPSED ON ROLLOUT,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.,rebel
REL_73,TAXIING,has effect,MUD,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.,rebel
REL_73,MUD,has cause,TAXIING,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.,rebel
REL_74,INEFFECTIVE,subclass of,AIRCRAFT,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.,rebel
REL_75,LANDED SHORT OF RUNWAY,named after,FUEL,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.,rebel
REL_75,FUEL,named after,LANDED SHORT OF RUNWAY,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.,rebel
REL_76,FOUND FUEL GASOLATOR,manufacturer,ENGINE,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.,rebel
REL_77,GEAR COLLAPSED,has cause,TOUCHDOWN,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.",rebel
REL_77,TOUCHDOWN,has effect,GEAR COLLAPSED,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.",rebel
REL_78,PILOT,has part,ENGINE,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.",rebel
REL_78,ENGINE,part of,PILOT,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.",rebel
REL_79,TAKEOFF,different from,TAXIWAY,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.,rebel
REL_79,TAXIWAY,different from,TAKEOFF,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.,rebel
REL_80,VACUUM,has part,CAP,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,rebel
REL_80,CAP,part of,VACUUM,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,rebel
REL_81,ALCOHOL,instance of,FLT,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.,rebel
REL_82,FORCED LANDING,product or material produced,OIL,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.",rebel
REL_82,OIL,manufacturer,FORCED LANDING,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.",rebel
REL_83,RAN THROUGH FENCE,instance of,INEFFECTIVE,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.,rebel
REL_84,PILOTS TOOK OFF,item operated,MAG,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.,rebel
REL_84,MAG,item operated,PILOTS TOOK OFF,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.,rebel
REL_85,ENGINE COWLING,has part,ENGINE IN FLIGHT,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.,rebel
REL_85,ENGINE IN FLIGHT,part of,ENGINE COWLING,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.,rebel
REL_86,St. Louis,located in the administrative territorial entity,Missouri,GUSTING TO 30K.,rebel
REL_86,St. Louis,located in the administrative territorial entity,Missouri,GUSTING TO 30K.,rebel
REL_86,Missouri,contains administrative territorial entity,St. Louis,GUSTING TO 30K.,rebel
REL_86,Missouri,contains administrative territorial entity,Missouri,GUSTING TO 30K.,rebel
REL_86,Missouri,contains administrative territorial entity,St. Louis,GUSTING TO 30K.,rebel
REL_86,Missouri,located in the administrative territorial entity,Missouri,GUSTING TO 30K.,rebel
REL_86,Missouri,contains administrative territorial entity,St. Louis,GUSTING TO 30K.,rebel
REL_86,Missouri,contains administrative territorial entity,Missouri,GUSTING TO 30K.,rebel
REL_87,TAKEOFF,number of episodes,2,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.,rebel
REL_88,AIRCRAFT,has part,ENGINE,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.,rebel
REL_88,ENGINE,part of,AIRCRAFT,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.,rebel
REL_89,LANDING,has part,ENGINES,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.,rebel
REL_89,ENGINES,part of,LANDING,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.,rebel
REL_90,PILOT UNABLE TO EXTEND GEAR,instance of,ACTUATOR,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.,rebel
REL_91,TAKEOFF,has part,LATCH DOOR,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.",rebel
REL_91,LATCH DOOR,part of,TAKEOFF,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.",rebel
REL_92,ENGINEER,part of,NEST,ENGINE FIRE CAUSED BY BIRDS NEST.,rebel
REL_92,NEST,has part,ENGINEER,ENGINE FIRE CAUSED BY BIRDS NEST.,rebel
REL_93,LANDED STRAIGHT AHEAD,facet of,ENGINE,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.,rebel
