word,example,source
tow,noted wear on engine mount caused by engine breather support,maintnet_terms
crane,noted wear on engine mount caused by engine breather support,maintnet_terms
noise,right engine loud noise & #3 & 4 intake tubes are leaking.,maintnet_terms
rear,rocker box cover screws loose.,maintnet_terms
differential,right engine differential is broken.,maintnet_terms
towed,engine overspeed up to 3400 revolutions per minute @ termination of an auto.,maintnet_terms
vehicle,engine overspeed up to 3400 revolutions per minute @ termination of an auto.,maintnet_terms
maintenance,engine overspeed up to 3400 revolutions per minute @ termination of an auto.,maintnet_terms
interstate,#2 rocker cover gasket leaking.,maintnet_terms
milford,engine assembled in milford but not working.,maintnet_terms
towing,#1 & 3 rocker covers are leaking.,maintnet_terms
invoice,right forward baffle seal loose.,maintnet_terms
bearings,reinstall engine after repair to firewall.,maintnet_terms
sealsu-jointsinvoice,#2 & 4 intake gasket leaking.,maintnet_terms
remove,#3 rocker cover leaking.,maintnet_terms
replace,aft baffle screw loose.,maintnet_terms
springs,engine baffle buttons worn.,maintnet_terms
coolant,#2 engine coolant not start,maintnet_terms
tubespm,engine runs rough after start. engine shut down when power t,maintnet_terms
servive,engine runs rough after start. engine shut down when power t,maintnet_terms
dashpm,all rocker cover screws are loose on left engine.,maintnet_terms
servicecheck,#2 intake leaking on right engine.,maintnet_terms
tune,intakes 2  # & 4 leaking on left engine.,maintnet_terms
tires,rocker covers 2 & 4 leaking on right engine.,maintnet_terms
red,on right engine start  engine ran very rough.,maintnet_terms
light,on right engine start  engine ran very rough.,maintnet_terms
dash,#2 intake is leaking.,maintnet_terms
rejensent,#3 rocker cover leaking.,maintnet_terms
gabrioelli,left engine #4 rocker cover gasket leaking.,maintnet_terms
