record_id,problem,action,aircraft_model,manufacturer,source
MN_100029,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","PERFORMED COMPRESSION CHECK, CYL #3 INDICATED ZERO PSI.",,,maintnet
MN_100030,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","COMPLETED BAFFLE INSTALL, OIL FILLER TUBE, SPARK PLUGS.",,,maintnet
MN_100031,#4 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,,,maintnet
MN_100032,RIGHT ENG #4 AIR BAFFLE IS CRACKED,REMOVED & REPLACED #4 AIR BAFFLE.,,,maintnet
MN_100033,R/H ENG FWD ALT ATTACH BOLT LOOSE.,SECURED ALT ATTACH BOLT & RESAFETIED.,,,maintnet
MN_100034,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.,,,maintnet
MN_100035,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.,,,maintnet
MN_100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.,,,maintnet
MN_100037,L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO",,,maintnet
MN_100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD.",,,maintnet
MN_100039,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G",,,maintnet
MN_100040,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G",,,maintnet
MN_100041,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,,,maintnet
MN_100042,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,maintnet
MN_100043,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,,,maintnet
MN_100044,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.,,,maintnet
MN_100045,#3 BRAKE MISSING SCREW.,REPLACED SCREW.,,,maintnet
MN_100046,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.,,,maintnet
MN_100047,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,,,maintnet
MN_100048,#3 AFT BAFFLE BRACKET LOOSE.,REMOVED & REPLACED MISSING RIVETS W/ SCREWS & NUTS.,,,maintnet
MN_100049,#4 CYL ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100050,"#1, 2, & 6 COWL MOUNTS ARE TORN.",REMOVED & REPLACED MOUNTS.,,,maintnet
MN_100051,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100052,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,,,maintnet
MN_100053,#4 INTAKE IS LEAKING.,REPLACED GASKET & INSPECTED INTAKE TUBE.,,,maintnet
MN_100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE","ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R",,,maintnet
MN_100055,L/H BAFFLE PLUG WORN.,REMOVED & REPLACED PLUG.,,,maintnet
MN_100056,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,SECURED SEALS.,,,maintnet
MN_100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,SECURED BAFFLE SEAL.,,,maintnet
MN_100059,#3 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,maintnet
MN_100060,#4 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,maintnet
MN_100061,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.,,,maintnet
MN_100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.,,,maintnet
MN_100063,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESS CHECKED OK.",,,maintnet
MN_100064,STUDENT COULDN'T START A/C.,STARTED A/C FOR STUDENT.,,,maintnet
MN_100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED",,,maintnet
MN_100066,"AFTER LANDING, A/C IDLE @ 970 RPM.",ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA,,,maintnet
MN_100067,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD,,,maintnet
MN_100068,R/H ENG #2 INTAKE LEAKS.,REPLACED GASKET.,,,maintnet
MN_100069,L/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,,,maintnet
MN_100070,R/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.,,,maintnet
MN_100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.",,,maintnet
MN_100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.,,,maintnet
MN_100073,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100074,#4 ROCKER BOX COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_100075,BAFFLE PLUG HOLE WORN.,INSTALLED PATCH & NEW PLUG.,,,maintnet
MN_100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"RAN A/C, OPS & LEAK CHECK GOOD.",,,maintnet
MN_100077,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYL HAD VERY L,,,maintnet
MN_100078,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,COMPLETED REASSEMBLY OF #3 CYL ASSY. INSTALLED NEW INTA,,,maintnet
MN_100079,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,REMOVED #3 CYL. INSTALLED SERVICEABLE CYL ASSY. TORQUED,,,maintnet
MN_100080,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW",,,maintnet
MN_100081,#2 INTAKE LEAKS.,REPLACED GASKET.,,,maintnet
MN_100082,#4 INTAKE LEAKS.,REPLACED GASKET.,,,maintnet
MN_100083,#3 INTAKE TUBE GASKET IS LEAKING.,REPLACED GASKET.,,,maintnet
MN_100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REPLACED GASKETS.,,,maintnet
MN_100085,ENGINE WOULD NOT START.,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA",,,maintnet
MN_100086,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,,,maintnet
MN_100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H,,,maintnet
MN_100088,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,,,maintnet
MN_100089,#2 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.,,,maintnet
MN_100090,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.,,,maintnet
MN_100091,#1 INTAKE LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.,,,maintnet
MN_100092,#3 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS W/ NEW.,,,maintnet
MN_100093,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_100094,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET W/ NEW.,,,maintnet
MN_100095,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,,,maintnet
MN_100096,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,maintnet
MN_100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,TIGHTENED HOSE CLAMP.,,,maintnet
MN_100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED,,,maintnet
MN_100099,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH",,,maintnet
MN_100100,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U",,,maintnet
MN_100102,R/H ENGINE #4 CYL BAFFLE BOLT MISSING.,INSTALLED NEW BOLT.,,,maintnet
MN_100103,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4.",,,maintnet
MN_100104,L/H ENGINE #1 & 3 ROCKER COVERS LEAKING.,"REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKETS, 1 &",,,maintnet
MN_100105,ENGINE DIED DURING MAG CK.,STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO,,,maintnet
MN_100106,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,maintnet
MN_100107,"#2, 4 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.,,,maintnet
MN_100108,#2 & 4 CYL OIL RETURN LINE CLAMPS LOOSE.,TIGHTENED CLAMPS.,,,maintnet
MN_100109,R/H ENGINE #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,RESECURED BAFFLE SEALS.,,,maintnet
MN_100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,INSTALLED REPAIRED BAFFLING.,,,maintnet
MN_100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REMOVED BAFFLE & SWAPPED ACCESSORIES.,,,maintnet
MN_100113,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,,,maintnet
MN_100114,#1 L/H INTAKE HAS LARGE GOUGE.,REMOVED & REPLACED #1 L/H INTAKE PIPE W/ SERVICEABLE PI,,,maintnet
MN_100115,L/H ENGINE #3 ROCKER COVER LEAKING.,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.,,,maintnet
MN_100116,#2 CYLINDER HAS LOW COMPRESSION.,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP,,,maintnet
MN_100117,#4 ROCKER COVER IS LEAKING.,REPLACED GASKET.,,,maintnet
MN_100118,L/H SIDE OF ENG FWD RUBBER SEAL LOOSE.,SECURED BAFFLE SEAL.,,,maintnet
MN_100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,,,maintnet
MN_100120,R/H BAFFLE FRONT SIDE HAS A CRACK.,STOP DRILLED CRACK & FABRICATED PATCH W/ LIKE MATERIAL.,,,maintnet
MN_100121,CYL #4 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,,,maintnet
MN_100122,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,,,maintnet
MN_100123,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER GASKET.,,,maintnet
MN_100124,R/H ENG #4 CYL INTAKE GASKET IS LEAKING.,INSTALLED NEW #4 INTAKE GASKET.,,,maintnet
MN_100125,SCREW IS MISSING ON #3 CYL BAFFLE.,INSTALLED NEW SCREW.,,,maintnet
MN_100126,R/H FRONT BAFFLE SEAL LOOSE.,RESECURED R/H FRONT BAFFLE SEAL.,,,maintnet
MN_100127,TOP BACK L/H CORNER BAFFLE IS CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH W/ LIKE MATERIAL.",,,maintnet
MN_100128,#2 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,,,maintnet
MN_100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,RAN ENGINE BRIEFLY & NOTED THAT ENGINE WAS NOT RUNNING,,,maintnet
MN_100131,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,"FREED EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABL",,,maintnet
MN_100132,#1 & 3 INTAKES LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.,,,maintnet
MN_100133,#2 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,,,maintnet
MN_100134,R/H AFT BAFFLE MOUNT RIVETS ARE SHEARED.,DISCONNECTED LINES & WIRES TO REMOVE BAFFLE. REMOVED BA,,,maintnet
MN_100135,CHT NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,"REMOVED & REPLACED CHT PROBE. INSP ENGINE, NO DEFECTS N",,,maintnet
MN_100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,OPS & LEAK CHECK GOOD.,,,maintnet
MN_100137,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,FINISHED INSTALLATION OF ENGINE.,,,maintnet
MN_100138,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,"REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M",,,maintnet
MN_100139,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING.",REPLACED ALL 3 GASKETS.,,,maintnet
MN_100140,L/H ENGINE #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100141,R/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED #2 & 4 ROCKER COVERS.,,,maintnet
MN_100142,R/H ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,REPLACED #3 & 4 INTAKE GASKETS.,,,maintnet
MN_100143,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.","REMOVED BRACE, STOP DRILLED CRACK. INSTALLED W/ LARGE A",,,maintnet
MN_100144,ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,,,maintnet
MN_100145,#2 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,,,maintnet
MN_100146,#4 ROCKER COVER GASKET LEAKING.,INSTALLED NEW #4 ROCKER BOX COVER GASKET.,,,maintnet
MN_100147,LEFT BRAKE LININGS ARE WORN OUT.,REPLACED BRAKE LININGS.,,,maintnet
MN_100148,RIGHT ENG #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER COVER.,,,maintnet
MN_100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,LEAK CHECK GOOD.,,,maintnet
MN_100150,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN VALVE TRAIN OVERSPEED INSP.,,,maintnet
MN_100151,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN ENG OVERSPEED INSP IAW . IDENTIFIED & CORR,,,maintnet
MN_100152,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,FINISHED VALVE TRAIN OVERSPEED INSP.  WAS COMPLET,,,maintnet
MN_100153,#2 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.,,,maintnet
MN_100154,#2 CYLINDER HAS LOW COMPRESSION.,"PERFORMED ENGINE RUN UP TO OPERATING TEMPERATURES, PERF",,,maintnet
MN_100155,#2 ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.,,,maintnet
MN_100156,#3 BAFFLE BUTTON PLUG BAD.,INSTALLED NEW BUTTON PLUG.,,,maintnet
MN_100157,R/H ENG ROUGH IN FLIGHT.,"RAN A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D",,,maintnet
MN_100158,#1 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED 1 & 3 ROCKER COVERS.,,,maintnet
MN_100159,R/H FWD BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.,,,maintnet
MN_100160,"WHILE TAXIING, ENGINE QUIT.",FOUND #4 INTAKE WAS LEAKING. REMOVED & REPLACED INTAKE,,,maintnet
MN_100161,"R/H ENG, FWD I/B BAFFLE HAS SMALL CRACK.",STOP DRILLED CRACK.,,,maintnet
MN_100162,"BOTH ENGS, ALL ROCKER COVERS LOOSE.",TIGHTENED ALL SCREWS FOR ROCKER COVERS.,,,maintnet
MN_100163,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,OPS & LEAK CHECKED GOOD.,,,maintnet
MN_100164,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,OPS & LEAK CHECKED GOOD.,,,maintnet
MN_100165,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,INSTALLED R/H ENGINE TO AIRFRAME.,,,maintnet
MN_100166,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,FINISHED INSTALLING NACELLE WIRING.,,,maintnet
MN_100167,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,FINISHED REINSTALL OF NACELLE WIRING.,,,maintnet
MN_100168,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONTINUED WIRING & ENGINE CONTROL INSTALLATION.,,,maintnet
MN_100169,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,PRESERVED CYLINDERS. PREPARED ENGINE FOR STORAGE.,,,maintnet
MN_100170,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL.,,,maintnet
MN_100171,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"INSTALLED & TIMED MAGNETOS. ROUTED, CONNECTED WIRING &",,,maintnet
MN_100172,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,UNPACKED ENGINE FROM PALLET. INSTALLED ENGINE ASSY TO A,,,maintnet
MN_100173,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"RAN WIRING THROUGH FIREWALL, RAN CABLES THROUGH FIREWAL",,,maintnet
MN_100174,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"ROUTED & SECURED WIRING, FUEL & OIL LINES, CONTROL CABL",,,maintnet
MN_100175,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL. R,,,maintnet
MN_100176,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"CLEANED PLUGS, SERVICED OIL. RAN L/H ENGINE, ALL INDICA",,,maintnet
MN_100177,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"REMOVED LEFT ENGINE, PROP/MOUNT ASSY.",,,maintnet
MN_100178,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,REMOVED OIL SUMP & ACCESSORY CASE. INSPECTED IAW,,,maintnet
MN_100179,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,STARTED WIRING INSTALLATION & CONTROL CABLE INSTALLATIO,,,maintnet
MN_100180,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONTINUED WIRING & CONTROL CABLE ROUTING. CONNECTED COW,,,maintnet
MN_100181,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONNECTED WIRING & SECURED. ATTACHED & RIGGED ENGINE CO,,,maintnet
MN_100182,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"CLEANED PLUGS, SERVICED OIL. RAN ENGINE, ALL INDICATION",,,maintnet
MN_100183,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,REMOVED R/H ENGINE/PROP/MOUNT ASSY. PRESERVED CYLS. PAL,,,maintnet
MN_100184,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.,REMOVED ENGINE.,,,maintnet
MN_100185,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,INSTALLED ENGINE AFTER REPAIR TO FIREWALL WAS COMPLETED,,,maintnet
MN_100186,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,FIREWALL REPAIRED BY ODEGAARD WINGS.,,,maintnet
MN_100187,#2 & 4 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 & 4 INTAKE GASKETS.,,,maintnet
MN_100188,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,,,maintnet
MN_100189,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,,,maintnet
MN_100190,AFT BAFFLE SCREW LOOSE.,TIGHTENED BAFFLE SCREW.,,,maintnet
MN_100191,#4 REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,,,maintnet
MN_100192,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,,,maintnet
MN_100193,#3 CYL EXHAUST SEAL LEAKING.,REMOVED & REPLACED SEAL.,,,maintnet
MN_100194,FELT ON #1 & 3 BAFFLE COMING LOOSE.,PREPPED AREA & APPLIED SEALANT.,,,maintnet
MN_100195,ENGINE BAFFLE BUTTONS WORN.,REMOVED & REPLACED ENGINE BAFFLE BUTTONS ON L/H & R/H.,,,maintnet
MN_100196,MISSING SCREW ON #3 ROCKER COVER.,INSTALLED NEW SCREW.,,,maintnet
MN_100197,#2 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,,,maintnet
MN_100198,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,,,maintnet
MN_100199,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,"STARTED A/C, VERIFIED ENGINE RUNS VERY ROUGH. #3 EGT WA",,,maintnet
MN_100200,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,PERFORMED SI 388C ON ALL 4 CYLINDERS. REAMED EXHAUST VA,,,maintnet
MN_100201,"LACING CORD LOOSE ON SCAT TUBING + IGN LEAD TO FRAME, R/H SI",REPLACED BOTH LACINGS.,,,maintnet
MN_100202,ALL ROCKER COVER SCREWS ARE LOOSE ON L/H ENGINE.,TIGHTENED ALL SCREWS.,,,maintnet
