entity_id,record_id,entity_text,entity_type,source
ENT_19770622018359A_0,19770622018359A,PWR,PRODUCT,spacy_ner
ENT_19770617020389A_0,19770617020389A,INSUFFICIENT,ORG,spacy_ner
ENT_19770530015519A_0,19770530015519A,CHOKER,ORG,spacy_ner
ENT_19770530015519A_0,19770530015519A,FLT,ORG,spacy_ner
ENT_19770703018529A_0,19770703018529A,FLT AFTR,PRODUCT,spacy_ner
ENT_19770706020519A_0,19770706020519A,AN175-16,PRODUCT,spacy_ner
ENT_19770706020519A_0,19770706020519A,SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT,ORG,spacy_ner
ENT_19770912040629A_0,19770912040629A,1745LBS,CARDINAL,spacy_ner
ENT_19770912040629A_0,19770912040629A,OVR,ORG,spacy_ner
ENT_19770912040629A_0,19770912040629A,FEATHERED.AUTOFEATHER,CARDINAL,spacy_ner
ENT_19780106001449I_0,19780106001449I,IMPROPER,ORG,spacy_ner
ENT_19780106001449I_0,19780106001449I,OUT,ORG,spacy_ner
ENT_19780129004679I_0,19780129004679I,ICE,ORG,spacy_ner
ENT_19780129004679I_0,19780129004679I,RESTRICTION,ORG,spacy_ner
ENT_19780203005449I_0,19780203005449I,ONE,CARDINAL,spacy_ner
ENT_19780203005449I_0,19780203005449I,TOPPED,ORG,spacy_ner
ENT_19780205005989I_0,19780205005989I,VIBRATED,ORG,spacy_ner
ENT_19780205005989I_0,19780205005989I,LOST POWER,ORG,spacy_ner
ENT_19780121004029I_0,19780121004029I,GEAR,ORG,spacy_ner
ENT_19780121004029I_0,19780121004029I,GEAR,ORG,spacy_ner
ENT_19780130004789I_0,19780130004789I,GEAR,ORG,spacy_ner
ENT_19780130004789I_0,19780130004789I,ON TAKEOFF ROLL,ORG,spacy_ner
ENT_19780102000459I_0,19780102000459I,TAXIED OFF RUNWAY,ORG,spacy_ner
ENT_19771213042839A_0,19771213042839A,CG AFT OF OPTIMUM RANGE BUT FORWARD,PRODUCT,spacy_ner
ENT_19771213042839A_0,19771213042839A,REARMOST,ORG,spacy_ner
ENT_19771104034549A_0,19771104034549A,BRAKE,ORG,spacy_ner
ENT_19771104034549A_0,19771104034549A,70,CARDINAL,spacy_ner
ENT_19771104034549A_0,19771104034549A,WORN,PERSON,spacy_ner
ENT_19771104034549A_0,19771104034549A,LAST WK,PERSON,spacy_ner
ENT_19770927027719A_0,19770927027719A,FLOATS.EXCEEDED,CARDINAL,spacy_ner
ENT_19770927027719A_0,19770927027719A,AFT CG LMT.THROTTLE FRICTION LOOSE,ORG,spacy_ner
ENT_19780115003139I_0,19780115003139I,PARTIALLY,ORG,spacy_ner
ENT_19771016042599A_0,19771016042599A,25,CARDINAL,spacy_ner
ENT_19780206006039I_0,19780206006039I,COWLING,PERSON,spacy_ner
ENT_19780111000459A_0,19780111000459A,ACFT,ORG,spacy_ner
ENT_19780211006969I_0,19780211006969I,NOSE,ORG,spacy_ner
ENT_19780213006479I_0,19780213006479I,DIP,ORG,spacy_ner
ENT_19780218007139I_0,19780218007139I,COWL,ORG,spacy_ner
ENT_19780303015509I_0,19780303015509I,TOUCHDOWN,GPE,spacy_ner
ENT_19780311016379I_0,19780311016379I,TOUCHDOWN,GPE,spacy_ner
ENT_19780311016379I_0,19780311016379I,BRAKE RESERVOIR,ORG,spacy_ner
ENT_19780327010619I_0,19780327010619I,RAN OUT,ORG,spacy_ner
ENT_19780421012829I_0,19780421012829I,GEAR,ORG,spacy_ner
ENT_19780421012829I_0,19780421012829I,TOUCHDOWN,GPE,spacy_ner
ENT_19780316008589I_0,19780316008589I,BRAKE,ORG,spacy_ner
ENT_19780319009079I_0,19780319009079I,BOLT,ORG,spacy_ner
ENT_19780319009079I_0,19780319009079I,NOSE GEAR,ORG,spacy_ner
ENT_19780319009079I_0,19780319009079I,NOSE WHEEL DROPPED,ORG,spacy_ner
ENT_19780330011569I_0,19780330011569I,PILOT LOST ELECTRICAL POWER,ORG,spacy_ner
ENT_19780402009009I_0,19780402009009I,GEAR,ORG,spacy_ner
ENT_19780402009009I_0,19780402009009I,ON ROLLOUT,ORG,spacy_ner
ENT_19780401007929I_0,19780401007929I,NOSE GEAR,ORG,spacy_ner
ENT_19780401007929I_0,19780401007929I,MUD,ORG,spacy_ner
ENT_19780402008409I_0,19780402008409I,WORN OUT & INEFFECTIVE BRAKES,ORG,spacy_ner
ENT_19780403009359I_0,19780403009359I,RUNWAY,ORG,spacy_ner
ENT_19780403009389I_0,19780403009389I,ON HIGHWAY,ORG,spacy_ner
ENT_19780403009389I_0,19780403009389I,FUEL GASOLATOR,PERSON,spacy_ner
ENT_19780409009699I_0,19780409009699I,GEAR,ORG,spacy_ner
ENT_19780409009699I_0,19780409009699I,TOUCHDOWN,GPE,spacy_ner
ENT_19780309015599I_0,19780309015599I,FUEL LEAK,PERSON,spacy_ner
ENT_19780413019379A_0,19780413019379A,PLT AWARE OF FULL,ORG,spacy_ner
ENT_19780413019379A_0,19780413019379A,NOSE,ORG,spacy_ner
ENT_19780413019379A_0,19780413019379A,0.10,CARDINAL,spacy_ner
ENT_19780413019379A_0,19780413019379A,LVL ALCOHOL,ORG,spacy_ner
ENT_19780507032369I_0,19780507032369I,CAP,ORG,spacy_ner
ENT_19780525040389I_0,19780525040389I,RAN THROUGH FENCE,ORG,spacy_ner
ENT_19780617046219I_0,19780617046219I,MAG,ORG,spacy_ner
ENT_19780617046219I_0,19780617046219I,FAILURE,PERSON,spacy_ner
ENT_19780427013859I_0,19780427013859I,COWLING,PERSON,spacy_ner
ENT_19780520014159A_0,19780520014159A,30K.,CARDINAL,spacy_ner
ENT_19780429014759I_0,19780429014759I,FUEL CAP OFF AIRCRAFT,ORG,spacy_ner
ENT_19780501031459I_0,19780501031459I,ENGINES,ORG,spacy_ner
ENT_19780504031959I_0,19780504031959I,RAN,ORG,spacy_ner
ENT_19780504031959I_0,19780504031959I,RUNWAY,ORG,spacy_ner
ENT_19780518033959I_0,19780518033959I,ON THIRD TOUCH,ORG,spacy_ner
ENT_19780518033959I_0,19780518033959I,LANDED STRAIGHT AHEAD,ORG,spacy_ner
ENT_19780519033989I_0,19780519033989I,JETWAY,ORG,spacy_ner
ENT_19780528040689I_0,19780528040689I,WORKING ON HOME-BUILT,ORG,spacy_ner
ENT_19780529040959I_0,19780529040959I,MARSHY,ORG,spacy_ner
ENT_19780529040959I_0,19780529040959I,TIPPED,ORG,spacy_ner
ENT_19780515023299A_0,19780515023299A,LOGGING,PERSON,spacy_ner
ENT_19780603041599I_0,19780603041599I,SANK,ORG,spacy_ner
ENT_19780610045289I_0,19780610045289I,PARTIALLY,ORG,spacy_ner
ENT_19780527014729A_0,19780527014729A,ACORNS,ORG,spacy_ner
ENT_19780527014729A_0,19780527014729A,LODGED,ORG,spacy_ner
ENT_19780527014729A_0,19780527014729A,CARB AIR BOX ASSEMBLY,ORG,spacy_ner
ENT_19780616046129I_0,19780616046129I,NOSE GEAR,ORG,spacy_ner
ENT_19780616046129I_0,19780616046129I,COLLAPSED ON,ORG,spacy_ner
ENT_19780616046129I_0,19780616046129I,TOUCHDOWN,GPE,spacy_ner
ENT_19780616046129I_0,19780616046129I,UNHOOKED,ORG,spacy_ner
ENT_19780616046129I_0,19780616046129I,JAMMED,PERSON,spacy_ner
ENT_19780429007189A_0,19780429007189A,CAP,ORG,spacy_ner
ENT_19780607020299A_0,19780607020299A,BECAME AIRBORNE,ORG,spacy_ner
ENT_19780607010749A_0,19780607010749A,NOSE,ORG,spacy_ner
ENT_19780623036259I_0,19780623036259I,ON BEACH,GPE,spacy_ner
ENT_19780623036259I_0,19780623036259I,DIRT,GPE,spacy_ner
ENT_19780624034629I_0,19780624034629I,MUD,ORG,spacy_ner
ENT_19780625035919I_0,19780625035919I,250,CARDINAL,spacy_ner
ENT_19780625035919I_0,19780625035919I,THE GASCOLATOR BOWL,ORG,spacy_ner
ENT_19780812020899A_0,19780812020899A,MUD,ORG,spacy_ner
ENT_19780810035619A_0,19780810035619A,STATE.LNDD,PERSON,spacy_ner
ENT_19780820049069I_0,19780820049069I,OAT,ORG,spacy_ner
ENT_19780805024609A_0,19780805024609A,PLT INADVERTENTLY,ORG,spacy_ner
ENT_19780822026439A_0,19780822026439A,ACFT,ORG,spacy_ner
ENT_19780822026439A_0,19780822026439A,SEAT,ORG,spacy_ner
ENT_19780726036499I_0,19780726036499I,GOT AIRBORNE,ORG,spacy_ner
ENT_19780726036499I_0,19780726036499I,NOSE GEAR DID NOT,ORG,spacy_ner
ENT_19780725039589I_0,19780725039589I,55,CARDINAL,spacy_ner
ENT_19780708043109I_0,19780708043109I,SUMP,ORG,spacy_ner
ENT_19780723038809I_0,19780723038809I,STUDENT PILOT RAN OUT,ORG,spacy_ner
ENT_19780808049829I_0,19780808049829I,RAN,ORG,spacy_ner
ENT_19780808049829I_0,19780808049829I,RUNWAY,ORG,spacy_ner
ENT_19780809049919I_0,19780809049919I,ON ROLL OUT,ORG,spacy_ner
ENT_19780814037299I_0,19780814037299I,GEAR,ORG,spacy_ner
ENT_19780825038179I_0,19780825038179I,15 MINUTES,TIME,spacy_ner
ENT_19780831038519I_0,19780831038519I,COWLING,PERSON,spacy_ner
ENT_19780920018899I_0,19780920018899I,BEGAN,ORG,spacy_ner
ENT_19781018032569I_0,19781018032569I,WEDGED,PERSON,spacy_ner
ENT_19780925018069I_0,19780925018069I,NACELLE,ORG,spacy_ner
ENT_19780925018069I_0,19780925018069I,GEAR,ORG,spacy_ner
ENT_19780925018069I_0,19780925018069I,ON LANDING ROLLOUT,ORG,spacy_ner
ENT_19780923027059I_0,19780923027059I,GEAR PARTIALLY,ORG,spacy_ner
ENT_19780923027059I_0,19780923027059I,COLLAPSED ON,ORG,spacy_ner
ENT_19780923027059I_0,19780923027059I,TOUCHDOWN,GPE,spacy_ner
ENT_19781020041019A_0,19781020041019A,ACFT,ORG,spacy_ner
ENT_19781020041019A_0,19781020041019A,UNKN RSN,PERSON,spacy_ner
ENT_19780916024019A_0,19780916024019A,TIE,ORG,spacy_ner
ENT_19780916024019A_0,19780916024019A,HEPER,ORG,spacy_ner
ENT_19781021036569A_0,19781021036569A,DMGD WING & AILERON DRG PREVIOUS LDG,ORG,spacy_ner
ENT_19781009029939I_0,19781009029939I,GEAR,ORG,spacy_ner
ENT_19781009029939I_0,19781009029939I,RUNWAY,ORG,spacy_ner
ENT_19781009029939I_0,19781009029939I,TOPPED,ORG,spacy_ner
ENT_19790119001139A_0,19790119001139A,CLIMB,GPE,spacy_ner
ENT_19790119001139A_0,19790119001139A,STRUCK A FENCE AND,ORG,spacy_ner
ENT_19781108022269I_0,19781108022269I,RAN,ORG,spacy_ner
ENT_19781114026859I_0,19781114026859I,ICE,ORG,spacy_ner
ENT_19781120025989I_0,19781120025989I,DIP,ORG,spacy_ner
ENT_19781230019999I_0,19781230019999I,ONE,CARDINAL,spacy_ner
ENT_19790106001239I_0,19790106001239I,RUNWAY,ORG,spacy_ner
ENT_19790107000829I_0,19790107000829I,ENGINE FLAMED OUT DURING TAXI,ORG,spacy_ner
ENT_19790107000829I_0,19790107000829I,NACELLE,ORG,spacy_ner
ENT_19790111000619I_0,19790111000619I,SPARK,ORG,spacy_ner
ENT_19790116002119I_0,19790116002119I,RUNWAY,ORG,spacy_ner
ENT_19790127003899I_0,19790127003899I,RAN OUT OF OIL,ORG,spacy_ner
ENT_19781110039789A_0,19781110039789A,ICE ON AIRCRAFT,ORG,spacy_ner
ENT_19781205041369A_0,19781205041369A,PLT,ORG,spacy_ner
ENT_19781113027039I_0,19781113027039I,UNMARKED,ORG,spacy_ner
ENT_19781119026389I_0,19781119026389I,AS PILOT ATTEMPTED TURN ON TAXIWAY,ORG,spacy_ner
ENT_19781216025369I_0,19781216025369I,INADVERTENTLY,GPE,spacy_ner
ENT_19790102000919I_0,19790102000919I,5 MONTHS,DATE,spacy_ner
ENT_19790127003859I_0,19790127003859I,CONTAMINATION WAS LOCAL,ORG,spacy_ner
ENT_19781231044159A_0,19781231044159A,ON ACT,ORG,spacy_ner
ENT_19781207022839I_0,19781207022839I,MELTED,ORG,spacy_ner
ENT_19781207022839I_0,19781207022839I,FROZE,PERSON,spacy_ner
ENT_19781207022839I_0,19781207022839I,THROTTLE,ORG,spacy_ner
ENT_19781215040349A_0,19781215040349A,HOOK RELEASE ELECTRICAL PLUG,ORG,spacy_ner
ENT_19781215040349A_0,19781215040349A,DISCONNECTED.LOAD FROZEN,PERSON,spacy_ner
ENT_19781129037719A_0,19781129037719A,PLT RQSTD & CNTLR,ORG,spacy_ner
ENT_19781129037719A_0,19781129037719A,2999,CARDINAL,spacy_ner
ENT_19781228040429A_0,19781228040429A,ELT,ORG,spacy_ner
ENT_19790203005099I_0,19790203005099I,VEERED,ORG,spacy_ner
ENT_19790203005099I_0,19790203005099I,RUNWAY,ORG,spacy_ner
ENT_19790203005099I_0,19790203005099I,BRAKE,ORG,spacy_ner
ENT_19790207005159I_0,19790207005159I,QUIT,ORG,spacy_ner
ENT_19790220007249I_0,19790220007249I,NOSE GEAR,ORG,spacy_ner
ENT_19790306009619I_0,19790306009619I,TAXIED INTO DRAINAGE,ORG,spacy_ner
ENT_19790316009739I_0,19790316009739I,NOSE,ORG,spacy_ner
ENT_19790316009739I_0,19790316009739I,RAMP,ORG,spacy_ner
ENT_19790316009739I_0,19790316009739I,PROP STRUCK GROUND,ORG,spacy_ner
ENT_19790404013469I_0,19790404013469I,NOSE,ORG,spacy_ner
ENT_19790404013469I_0,19790404013469I,ZK,PERSON,spacy_ner
ENT_19790224005689A_0,19790224005689A,4 DAYS LATER,DATE,spacy_ner
ENT_19790214002969A_0,19790214002969A,SEAT,ORG,spacy_ner
ENT_19790214002969A_0,19790214002969A,BACK.PILOT,PRODUCT,spacy_ner
ENT_19790207005339I_0,19790207005339I,LATCHED,ORG,spacy_ner
ENT_19790414012459I_0,19790414012459I,FUEL SYSTEM FOUND TO,PRODUCT,spacy_ner
ENT_19790414012459I_0,19790414012459I,ODERLESS SUBSTANCE,ORG,spacy_ner
ENT_19790211007509A_0,19790211007509A,ON CLIMB-OUT,ORG,spacy_ner
ENT_19790410008789A_0,19790410008789A,FUEL TANKER,PRODUCT,spacy_ner
ENT_19790222003429A_0,19790222003429A,6700,CARDINAL,spacy_ner
ENT_19790412014049I_0,19790412014049I,ONE,CARDINAL,spacy_ner
ENT_19790222003439A_0,19790222003439A,65,CARDINAL,spacy_ner
ENT_19790204002289A_0,19790204002289A,CARBURATOR,PERSON,spacy_ner
ENT_19790405013359I_0,19790405013359I,ZE,PRODUCT,spacy_ner
ENT_19790316004809A_0,19790316004809A,RUNWAY,ORG,spacy_ner
ENT_19790421024889I_0,19790421024889I,RUNWAY,ORG,spacy_ner
ENT_19790210002629A_0,19790210002629A,FCD,ORG,spacy_ner
ENT_19790318010729A_0,19790318010729A,RWY,ORG,spacy_ner
ENT_19790309032649A_0,19790309032649A,LATCHED,ORG,spacy_ner
ENT_19790421024749I_0,19790421024749I,DEBRIS,GPE,spacy_ner
ENT_19790224007709I_0,19790224007709I,RAN,ORG,spacy_ner
ENT_19790224007709I_0,19790224007709I,RUNWAY,ORG,spacy_ner
ENT_19790210002639A_0,19790210002639A,AIRCRAFT CRASHED ON,ORG,spacy_ner
ENT_19790224007469I_0,19790224007469I,ICE,ORG,spacy_ner
ENT_19790211002709A_0,19790211002709A,RUNWAY,ORG,spacy_ner
ENT_19790211002709A_0,19790211002709A,RAN OFF END,ORG,spacy_ner
ENT_19790421024669I_0,19790421024669I,GEAR,ORG,spacy_ner
ENT_19790421024669I_0,19790421024669I,STOWED,ORG,spacy_ner
ENT_19790603029089I_0,19790603029089I,THROTTLE CABLE HOUSING SLIPPED OUT,ORG,spacy_ner
ENT_19790605014519I_0,19790605014519I,IMPROPERLY,ORG,spacy_ner
ENT_19790615016499I_0,19790615016499I,TOWBAR,NORP,spacy_ner
ENT_19790508100289I_0,19790508100289I,PILOT FLEW AIRCRAFT,ORG,spacy_ner
ENT_19790508100289I_0,19790508100289I,COWLING,PERSON,spacy_ner
ENT_19790510009019A_0,19790510009019A,AIRCRAFT TOOK,ORG,spacy_ner
ENT_19790528028209I_0,19790528028209I,QUIT,ORG,spacy_ner
ENT_19790529041069A_0,19790529041069A,CAP,ORG,spacy_ner
ENT_19790424024939I_0,19790424024939I,NOSE GEAR,ORG,spacy_ner
ENT_19790603012119A_0,19790603012119A,25,CARDINAL,spacy_ner
ENT_19790603012119A_0,19790603012119A,LIFTOFF,PRODUCT,spacy_ner
ENT_19790603012119A_0,19790603012119A,ACFT,ORG,spacy_ner
ENT_19790603012119A_0,19790603012119A,HIT GROUND,ORG,spacy_ner
ENT_19790513010459A_0,19790513010459A,IT TURNED OUT,ORG,spacy_ner
ENT_19790623022919A_0,19790623022919A,ACFT CRASHED & BURNED,ORG,spacy_ner
ENT_19790623014019A_0,19790623014019A,NOSE,ORG,spacy_ner
ENT_19790429005459A_0,19790429005459A,ACFT,ORG,spacy_ner
ENT_19790622017199I_0,19790622017199I,TOPPED,ORG,spacy_ner
ENT_19790622017199I_0,19790622017199I,TANKS,GPE,spacy_ner
ENT_19790625015009A_0,19790625015009A,FLT,ORG,spacy_ner
ENT_19790625015009A_0,19790625015009A,TWO,CARDINAL,spacy_ner
ENT_19790503025389I_0,19790503025389I,BELT,PERSON,spacy_ner
ENT_19790429025299I_0,19790429025299I,COLLAPSED,ORG,spacy_ner
ENT_19790513026659I_0,19790513026659I,8 QUARTS,QUANTITY,spacy_ner
ENT_19790513026659I_0,19790513026659I,LEAK,PERSON,spacy_ner
ENT_19790511011259A_0,19790511011259A,ICE ON AIRFRAME,ORG,spacy_ner
ENT_19790622017219I_0,19790622017219I,LOST POWER DURING CLIMB,ORG,spacy_ner
ENT_19790519010229A_0,19790519010229A,DEFECTIVE,PRODUCT,spacy_ner
ENT_19790507025919I_0,19790507025919I,ONE,CARDINAL,spacy_ner
ENT_19790609024769A_0,19790609024769A,ACFT,ORG,spacy_ner
ENT_19790609024769A_0,19790609024769A,11 MONTHS,DATE,spacy_ner
ENT_19790609024769A_0,19790609024769A,PARTIALLY,ORG,spacy_ner
ENT_19790809030499I_0,19790809030499I,DIRT,PERSON,spacy_ner
ENT_19790725018519A_0,19790725018519A,RUNWAY,ORG,spacy_ner
ENT_19790726019139A_0,19790726019139A,ATTEMPED,ORG,spacy_ner
ENT_19790726019139A_0,19790726019139A,180,CARDINAL,spacy_ner
ENT_19790726019139A_0,19790726019139A,RUNWAY,ORG,spacy_ner
ENT_19790718017739A_0,19790718017739A,PILOT,ORG,spacy_ner
ENT_19790718017739A_0,19790718017739A,SLID,PERSON,spacy_ner
ENT_19790718017739A_0,19790718017739A,CONTROL.VEERED,PERSON,spacy_ner
ENT_19790807029619I_0,19790807029619I,CAP ON PREFLIGHT,ORG,spacy_ner
ENT_19790807024709A_0,19790807024709A,ACFT,ORG,spacy_ner
ENT_19790703018439I_0,19790703018439I,RUNWAY GEAR,ORG,spacy_ner
ENT_19790703018439I_0,19790703018439I,TANKS,GPE,spacy_ner
ENT_19790807029669I_0,19790807029669I,AIRSPEED,PERSON,spacy_ner
ENT_19790807029669I_0,19790807029669I,DIRECTIONAL,GPE,spacy_ner
ENT_19790823023209I_0,19790823023209I,AIRCRAFT RAN,ORG,spacy_ner
ENT_19790823023209I_0,19790823023209I,RUNWAY DURING LANDING ROLL,ORG,spacy_ner
ENT_19790823023209I_0,19790823023209I,BRAKE DISC PADS,ORG,spacy_ner
ENT_19790823023209I_0,19790823023209I,WORN,PERSON,spacy_ner
ENT_19790813023739A_0,19790813023739A,BARREL,ORG,spacy_ner
ENT_19790720021329A_0,19790720021329A,IMPROPER,ORG,spacy_ner
ENT_19790817031829I_0,19790817031829I,ZA ZG STUDENT PILOT RAN OUT,ORG,spacy_ner
ENT_19790817031829I_0,19790817031829I,1 HOUR,TIME,spacy_ner
ENT_19790817031829I_0,19790817031829I,FUEL GAUGES,PERSON,spacy_ner
ENT_19790817031829I_0,19790817031829I,INCORRECTLY,ORG,spacy_ner
ENT_19790705018829I_0,19790705018829I,GEAR,ORG,spacy_ner
ENT_19790705018829I_0,19790705018829I,PREFLIGHT,ORG,spacy_ner
ENT_19790816031569I_0,19790816031569I,GRADUAL LOSS OF,ORG,spacy_ner
ENT_19790816031569I_0,19790816031569I,CAP,ORG,spacy_ner
ENT_19790820032669I_0,19790820032669I,10 PSI,QUANTITY,spacy_ner
ENT_19790820032669I_0,19790820032669I,ON HIGHWAY,ORG,spacy_ner
ENT_19790729018879A_0,19790729018879A,RESERVOIR,ORG,spacy_ner
ENT_19790729018879A_0,19790729018879A,ON FLUID,ORG,spacy_ner
ENT_19790829023019A_0,19790829023019A,SOYBEAN FIELD,ORG,spacy_ner
ENT_19790820029909A_0,19790820029909A,ON RUNWAY,ORG,spacy_ner
ENT_19790820029909A_0,19790820029909A,RAN OFF END,ORG,spacy_ner
ENT_19790812030579I_0,19790812030579I,GEAR,ORG,spacy_ner
ENT_19790808027309A_0,19790808027309A,RUNWAY,ORG,spacy_ner
ENT_19790808027309A_0,19790808027309A,INSUFFICIENT,ORG,spacy_ner
ENT_19790712020439I_0,19790712020439I,APEX PIN,ORG,spacy_ner
ENT_19790716019189I_0,19790716019189I,AIRSTAIR,PERSON,spacy_ner
ENT_19790918023659I_0,19790918023659I,RECONNECT NOSE GEAR DOOR RETRACT,ORG,spacy_ner
ENT_19790918023659I_0,19790918023659I,JAMMING,PERSON,spacy_ner
ENT_19790918023659I_0,19790918023659I,THE NOSE GEAR,ORG,spacy_ner
ENT_19790929049639I_0,19790929049639I,GEAR,ORG,spacy_ner
ENT_19790929049639I_0,19790929049639I,200 FEET,MONEY,spacy_ner
ENT_19790929049639I_0,19790929049639I,SELECTOR,ORG,spacy_ner
ENT_19791022054789I_0,19791022054789I,NEWLY,ORG,spacy_ner
ENT_19791022054789I_0,19791022054789I,CAP,ORG,spacy_ner
ENT_19790904034369I_0,19790904034369I,ZA ZG ZH,PERSON,spacy_ner
ENT_19791108054919I_0,19791108054919I,RAN,ORG,spacy_ner
ENT_19791108054919I_0,19791108054919I,RUNWAY,ORG,spacy_ner
ENT_19791108054919I_0,19791108054919I,ONE,CARDINAL,spacy_ner
ENT_19790919027319A_0,19790919027319A,AIRCRAFT CRASHED DURING,ORG,spacy_ner
ENT_19791102034159A_0,19791102034159A,180,CARDINAL,spacy_ner
ENT_19791102034159A_0,19791102034159A,WATR,ORG,spacy_ner
ENT_19791103056779I_0,19791103056779I,TOO RICH,ORG,spacy_ner
ENT_19791103056779I_0,19791103056779I,CARB HEAT ON.,ORG,spacy_ner
ENT_19791002050939I_0,19791002050939I,PILOT RAN OUT,ORG,spacy_ner
ENT_19791029027649A_0,19791029027649A,SEAT,ORG,spacy_ner
ENT_19791029027649A_0,19791029027649A,SEAT,ORG,spacy_ner
ENT_19791029027649A_0,19791029027649A,SLID,PERSON,spacy_ner
ENT_19791116043249A_0,19791116043249A,PILOT NOTICED &,ORG,spacy_ner
ENT_19790929042239I_0,19790929042239I,TAXIED INTO UNMARKED MANHOLE,ORG,spacy_ner
ENT_19791023031609A_0,19791023031609A,1ST,DATE,spacy_ner
ENT_19791014052729I_0,19791014052729I,PRIMER UNLOCKED,ORG,spacy_ner
ENT_19791219034489A_0,19791219034489A,WIND RAISED LIGHT SLING LOAD,ORG,spacy_ner
ENT_19791126034419A_0,19791126034419A,CFI WITH STUDENT ATTEMPTED,ORG,spacy_ner
ENT_19791126034419A_0,19791126034419A,RWY,ORG,spacy_ner
ENT_19791126034419A_0,19791126034419A,ICE ON WINGS,ORG,spacy_ner
ENT_19791126034419A_0,19791126034419A,CLIMB,GPE,spacy_ner
ENT_19791126034419A_0,19791126034419A,RWY,ORG,spacy_ner
ENT_19791221039859A_0,19791221039859A,TANKS,GPE,spacy_ner
ENT_19791228036809A_0,19791228036809A,SNOW & ICE,ORG,spacy_ner
ENT_19791228036809A_0,19791228036809A,CLIMB,GPE,spacy_ner
ENT_19791228036809A_0,19791228036809A,RAN OFF END,ORG,spacy_ner
ENT_19791228036809A_0,19791228036809A,RWY,ORG,spacy_ner
ENT_19791208047929I_0,19791208047929I,RETRACTED ON TAKEOFF ROLL,ORG,spacy_ner
ENT_19791216046619I_0,19791216046619I,INCORRECTLY ASSUMED FLAMEOUT,ORG,spacy_ner
ENT_19791210043359A_0,19791210043359A,COWLING,PERSON,spacy_ner
ENT_19791210043359A_0,19791210043359A,CLIFF,ORG,spacy_ner
ENT_19791210036229A_0,19791210036229A,COWLING,PERSON,spacy_ner
ENT_19791210036229A_0,19791210036229A,UNLATCHED,ORG,spacy_ner
ENT_19791210036229A_0,19791210036229A,ONE,CARDINAL,spacy_ner
ENT_19791210036229A_0,19791210036229A,RAN OFF END,ORG,spacy_ner
ENT_19791210036229A_0,19791210036229A,RUNWAY,ORG,spacy_ner
