record_id,description,aircraft_model,manufacturer,accident_type,date,year,state,city,airport,source
19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.",310,CESSNA,II,1-13-19780113,1,L,,L,faa
19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.",150,CESSNA,II,1-29-19780129,1,H,,H,faa
19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.,421B,CESSNA,II,2-03-19780203,2,L,CONT,L,faa
19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.",PA24,PIPER,II,2-05-19780205,2,L,,L,faa
19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.,PA30,PIPER,II,1-21-19780121,1,L,,L,faa
19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.,PA23250,PIPER,II,1-30-19780130,1,L,,L,faa
19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.",PA28140,PIPER,AU,1-02-19780102,1,L,,L,faa
19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.",DC3CS1C3G,DOUG,II,12-13-19771213,12,L,,L,faa
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.",A185F,CESSNA,AU,11-04-19771104,11,H,,H,faa
19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.,180J,CESSNA,II,9-27-19770927,9,H,,H,faa
19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.,PA24250,PIPER,II,1-15-19780115,1,L,LYC,L,faa
19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.",200BEECH,BEECH,II,2-06-19780206,2,L,,L,faa
19771016042599A,WIND GUSTING TO 25.,1081,UNIVAR,AU,10-16-19771016,10,H,,H,faa
19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.,PA31,PIPER,II,2-06-19780206,2,L,,L,faa
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.,206B1,BELL,II,1-11-19780111,1,G,,G,faa
19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.,1730,BLANCA,II,2-08-19780208,2,L,,L,faa
19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.",7AC,BLANCA,II,2-10-19780210,2,H,CONT,H,faa
19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.",310N,CESSNA,II,2-11-19780211,2,L,,L,faa
19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.,PA18,PIPER,II,2-19-19780219,2,H,,H,faa
19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.,188B,CESSNA,II,2-12-19780212,2,L,,L,faa
19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.,DHC6/,DHAV,II,2-13-19780213,2,,,,faa
19780218007139I,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.,PA32260,PIPER,II,2-18-19780218,2,L,,L,faa
19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.",152,CESSNA,II,2-25-19780225,2,H,,H,faa
19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.,PA28180,PIPER,II,2-25-19780225,2,L,,L,faa
19780307014069I,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.,PA32260,PIPER,AF,3-07-19780307,3,L,,L,faa
19780221000179I,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.",140,CESSNA,II,2-21-19780221,2,H,,H,faa
19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.,DC3,DOUG,II,2-28-19780228,2,L,,L,faa
19780303015509I,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.,M20F,MOONEY,AU,3-03-19780303,3,L,,L,faa
19780311016379I,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.",PA34200,PIPER,AU,3-11-19780311,3,L,,L,faa
19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.",415C,UNIVAR,II,3-27-19780327,3,L,,L,faa
19780421012829I,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.",A35,BEECH,ME,4-21-19780421,4,L,,L,faa
19780316008589I,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.,PA23250,PIPER,II,3-16-19780316,3,L,,L,faa
19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.,V35B,BEECH,II,3-19-19780319,3,L,,L,faa
19780325010349I,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.,1730A,BLANCA,II,3-25-19780325,3,L,,L,faa
19780328011399I,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.,PA25235,PIPER,II,3-28-19780328,3,L,,L,faa
19780330011569I,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.",PA30,PIPER,EQ,3-30-19780330,3,L,,L,faa
19780402009009I,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.,H35,BEECH,EQ,4-02-19780402,4,L,,L,faa
19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.,A35,BEECH,AF,4-01-19780401,4,L,,L,faa
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.,172K,CESSNA,AU,4-02-19780402,4,H,,H,faa
19780403009359I,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.,182P,CESSNA,II,4-03-19780403,4,H,,H,faa
19780403009389I,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.,PA12,PIPER,II,4-03-19780403,4,H,,H,faa
19780409009699I,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.",D50E,BEECH,EQ,4-09-19780409,4,L,,L,faa
19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.",PA28180,PIPER,II,2-10-19780210,2,L,,L,faa
19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.,SPEZIOTUHOLE,AMTRSP,II,4-16-19780416,4,L,,L,faa
19780309015599I,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,PA18A150,PIPER,II,3-09-19780309,3,H,,H,faa
19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.,PA23,PIPER,AU,4-13-19780413,4,L,,L,faa
19780507032369I,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.",140,CESSNA,II,5-07-19780507,5,H,,H,faa
19780525040389I,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.,182C,CESSNA,II,5-25-19780525,5,H,,H,faa
19780617046219I,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.,401,CESSNA,II,6-17-19780617,6,L,,L,faa
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.,PA31,PIPER,II,4-27-19780427,4,L,,L,faa
19780520014159A,GUSTING TO 30K.,170A,CESSNA,DE,5-20-19780520,5,H,,H,faa
19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.,188C,LKHEED,II,4-27-19780427,4,L,,L,faa
19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.,150,CESSNA,II,4-29-19780429,4,H,,H,faa
19780501031459I,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.,B90,BEECH,II,5-01-19780501,5,L,PWA,L,faa
19780503031639I,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.,PA30,PIPER,EQ,5-03-19780503,5,L,,L,faa
19780504031959I,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.",95B55,BEECH,II,5-04-19780504,5,L,,L,faa
19780514033439I,ENGINE FIRE CAUSED BY BIRDS NEST.,210,CESSNA,II,5-14-19780514,5,H,,H,faa
19780518033959I,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.,182,CESSNA,II,5-18-19780518,5,H,CONT,H,faa
19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.,747/,BOEING,DE,5-19-19780519,5,,,,faa
19780522035289I,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.,M20E,MOONEY,II,5-22-19780522,5,L,,L,faa
19780526040429I,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,NAVIONA,TMPSON,II,5-26-19780526,5,L,,L,faa
19780528040689I,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.",VARIEZE,AMTRRU,II,5-28-19780528,5,M,,M,faa
19780529040959I,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.,BC12D,TCRAFT,II,5-29-19780529,5,H,,H,faa
19780515023299A,LOGGING OPNS. CABLE CAUGHT ON L SKID.,206B,BELL,II,5-15-19780515,5,G,,G,faa
19780603041599I,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.",R172K,CESSNA,II,6-03-19780603,6,H,,H,faa
19780603041629I,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.,A185F,CESSNA,AU,6-03-19780603,6,H,,H,faa
19780610045289I,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.,47G2A,BELL,II,6-10-19780610,6,G,,G,faa
19780613045599I,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.,177RG,CESSNA,II,6-13-19780613,6,H,,H,faa
19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.,PA28180,PIPER,II,5-27-19780527,5,L,,L,faa
19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.,150,CESSNA,II,6-16-19780616,6,H,,H,faa
19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.",310,CESSNA,II,6-16-19780616,6,L,,L,faa
19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.,1329/,LKHEED,II,6-19-19780619,6,,,,faa
19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.,SGS233A,SCWZER,II,6-22-19780622,6,K,,K,faa
19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.,7AC,BLANCA,II,4-29-19780429,4,H,,H,faa
19780623018469A,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.",PA23250,PIPER,EQ,6-23-19780623,6,L,,L,faa
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,269C,HUGHES,II,5-09-19780509,5,G,,G,faa
19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.,V35B,BEECH,ME,6-07-19780607,6,L,,L,faa
19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.,DHC6/,DHAV,II,6-03-19780603,6,,,,faa
19780607010749A,FULL NOSE DOWN TRIM.,C23,BEECH,II,6-07-19780607,6,L,,L,faa
19780607016509A,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.",47G2,BELL,II,6-07-19780607,6,G,,G,faa
19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT,PA12,PIPER,II,6-23-19780623,6,H,,H,faa
19780623036419I,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.,206CESSNA,CESSNA,II,6-23-19780623,6,H,,H,faa
19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.,T34A,BEECH,II,6-24-19780624,6,L,,L,faa
19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.,M20C,MOONEY,II,6-25-19780625,6,L,LYC,L,faa
19780625035779I,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.,PA28235,PIPER,II,6-25-19780625,6,L,,L,faa
19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.,BC1265,TCRAFT,II,6-26-19780626,6,H,,H,faa
19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.,150C,CESSNA,II,8-12-19780812,8,H,,H,faa
19780712023399A,NO NARRATIVE.,UH12C,HILLER,II,7-12-19780712,7,G,,G,faa
19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.,G164A,GULSTM,II,8-10-19780810,8,Q,PWA,Q,faa
19780820049069I,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.,PA22,PIPER,II,8-20-19780820,8,H,,H,faa
19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.,PA18S125,PIPER,AU,8-05-19780805,8,H,,H,faa
19780704042039I,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.",172N,CESSNA,AU,7-04-19780704,7,H,,H,faa
19780822026439A,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.,210B,CESSNA,II,8-22-19780822,8,H,,H,faa
19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT",SA226TC,SWRNGN,II,7-26-19780726,7,L,,L,faa
19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,188LKHEED/,LKHEED,II,6-29-19780629,6,,,,faa
19780725039589I,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.,PA25260,PIPER,II,7-25-19780725,7,L,,L,faa
19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING,PA28161,PIPER,II,7-08-19780708,7,L,,L,faa
19780723038809I,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.,152,CESSNA,II,7-23-19780723,7,H,,H,faa
19780808049579I,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.,PA31350,PIPER,II,8-08-19780808,8,L,,L,faa
19780808049829I,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.,AA5,GULSTM,II,8-08-19780808,8,L,,L,faa
19780809049919I,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.",LA4200,CONAER,II,8-09-19780809,8,H,,H,faa
19780811037539I,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.,177,CESSNA,II,8-11-19780811,8,H,LYC,H,faa
19780814037299I,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.,PA30,PIPER,AU,8-14-19780814,8,L,,L,faa
19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.,2150AVARGA,MORISY,II,8-25-19780825,8,,,,faa
19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.",99,BEECH,II,8-31-19780831,8,L,,L,faa
19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.,310,CESSNA,II,9-01-19780901,9,L,,L,faa
19780904017739I,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.,UH12D,HILLER,II,9-04-19780904,9,G,,G,faa
19780907018599I,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.,LA4200,CONAER,AU,9-07-19780907,9,H,,H,faa
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.,404CESSNA,CESSNA,II,9-13-19780913,9,L,,L,faa
19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.",600ASMITH,PIPER,II,9-20-19780920,9,,,,faa
19781018032569I,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.,210,CESSNA,II,10-18-19781018,10,H,,H,faa
19781102023549I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,150,CESSNA,II,11-02-19781102,11,H,,H,faa
